package,source,version,r_version,assessment_date,rating
bs4Dash,CRAN,2.3.3,4.3.1,2023-11-27,low
bslib,CRAN,0.7.0,4.3.1,2023-11-27,low
butcher,CRAN,0.3.4,4.3.1,2023-11-27,low
bvls,CRAN,1.4,4.3.1,2023-11-27,high
ca,CRAN,0.71.1,4.3.1,2023-11-27,low
caTools,CRAN,1.18.2,4.3.1,2023-11-27,low
cachem,CRAN,1.1.0,4.3.1,2023-11-27,low
callr,CRAN,3.7.6,4.3.1,2023-11-27,low
car,CRAN,3.1-2,4.3.1,2023-11-27,low
carData,CRAN,3.0-5,4.3.1,2023-11-27,low
caret,CRAN,6.0-94,4.3.1,2023-11-27,low
castor,CRAN,1.8.0,4.3.1,2023-11-27,low
cellranger,CRAN,1.1.0,4.3.1,2023-11-27,low
checkmate,CRAN,2.3.1,4.3.1,2023-11-27,low
chevron,CRAN,0.2.6,4.3.1,2024-05-31,medium
chk,CRAN,0.9.1,4.3.1,2023-11-27,low
chromote,CRAN,0.2.0,4.3.1,2023-11-27,low
chron,CRAN,2.3-61,4.3.1,2023-11-27,low
circlize,CRAN,0.4.16,4.3.1,2023-11-27,low
class,CRAN,7.3-22,4.3.1,2023-11-27,low
class,CRAN,7.3-22,4.3.1,2023-11-27,low
classInt,CRAN,0.4-10,4.3.1,2023-11-27,low
cli,CRAN,3.6.2,4.3.1,2023-11-27,low
clipr,CRAN,0.8.0,4.3.1,2023-11-27,low
clisymbols,CRAN,1.2.0,4.3.1,2023-11-27,low
clock,CRAN,0.7.0,4.3.1,2023-11-27,low
clue,CRAN,0.3-65,4.3.1,2023-11-27,low
cluster,CRAN,2.1.6,4.3.1,2023-11-27,low
cluster,CRAN,2.1.6,4.3.1,2023-11-27,low
clustermq,CRAN,0.9.4,4.3.1,2023-11-27,medium
clv,CRAN,0.3-2.4,4.3.1,2023-11-27,low
cmdstanr,other,0.8.1,4.3.1,2023-11-27,low
cmprsk,CRAN,2.2-12,4.3.1,2023-11-27,low
cobalt,CRAN,4.5.5,4.3.1,2023-11-27,low
coda,CRAN,0.19-4.1,4.3.1,2023-11-27,low
codetools,CRAN,0.2-20,4.3.1,2023-11-27,low
codetools,CRAN,0.2-20,4.3.1,2023-11-27,low
coin,CRAN,1.4-3,4.3.1,2023-11-27,low
collapse,CRAN,2.0.14,4.3.1,2023-11-27,low
collections,CRAN,0.3.7,4.3.1,2023-11-27,low
colorRamps,CRAN,2.3.4,4.3.1,2023-11-27,low
colorspace,CRAN,2.1-0,4.3.1,2023-11-27,low
colourpicker,CRAN,1.3.0,4.3.1,2023-11-27,low
common,CRAN,1.1.3,4.3.1,2024-04-17,low
commonmark,CRAN,1.9.1,4.3.1,2023-11-27,low
compiler,other,4.3.1,4.3.1,2023-11-27,low
config,CRAN,0.3.2,4.3.1,2023-11-27,low
confintr,CRAN,1.0.2,4.3.1,2023-11-27,low
conflicted,CRAN,1.2.0,4.3.1,2023-11-27,low
connectapi,CRAN,0.1.3.1,4.3.1,2024-06-12,medium
conquer,CRAN,1.3.3,4.3.1,2023-11-27,low
consort,CRAN,1.2.2,4.3.1,2023-11-27,medium
copula,CRAN,1.1-3,4.3.1,2023-11-27,low
corpcor,CRAN,1.6.10,4.3.1,2023-11-27,low
correlation,CRAN,0.8.5,4.3.1,2023-11-27,low
corrplot,CRAN,0.92,4.3.1,2023-11-27,low
covr,CRAN,3.6.4,4.3.1,2023-11-27,low
cowplot,CRAN,1.1.3,4.3.1,2023-11-27,low
cpp11,CRAN,0.4.7,4.3.1,2023-11-27,low
cranlogs,CRAN,2.1.1,4.3.1,2023-11-27,low
crayon,CRAN,1.5.2,4.3.1,2023-11-27,low
credentials,CRAN,2.0.1,4.3.1,2023-11-27,low
crew,CRAN,0.9.3,4.3.1,2023-11-27,medium
crew.cluster,CRAN,0.3.1,4.3.1,2023-11-27,medium
